epoch,0,1,2,3,4,5,6,7,8,9,10
LSTM,0.774664951,0.823721064,0.830189325,0.8350833,0.840326356,0.823721064,0.774664951,0.823721064,0.830189325,0.840326356,0.860326356
CNN,0.692124464,0.762248628,0.783207162,0.793460554,0.800969212,0.793207162,0.800969212,0.823969212,0.800969212,0.810969212,0.828969212
